mep_id,activities,income,date
124800,Ministro della Repubblica (EUR                                                                             10000 11.000),11000,07/06/2017
124776,Ministre                                                                                                 10000,11000,26/04/2017
124755,Consultant Losberger Dubai via MWD                                                                       10000 Dubaï,10000,05/07/2017
124755,Consultant international                                                                                 10000,10000,05/07/2017
124755,Consultant ICTS Dubai via MWD Dubaï                                                                      10000,10001,05/07/2017
124787,Assessore Regione Liguria                                                                                  10000,10000,31/05/2017
124788,Università Cattolica del Sacro                                                                           10000 Cuore di Milano - Direttore della Sede di Brescia (La decina di migliaia più prossima è: 10),10000,15/06/2017
124806,07/2010–02/2013                                                                       10000 Niedersächsischer Ministerpräsident,10000,27/06/2017
124736,liikenneministeri                                                                                       10000,10000,29/05/2017
124851,Consigliere regionale Campania                                                                           10000,10000,29/06/2017
183793,Consigliere Regionale                                                                                      10000,10000,08/06/2017
124772,Assessore Regione Piemonte                                                                                 10000,10000,24/05/2017
38511,Landtag Steiermark                                                                                  10000,10000,28/03/2017
97058,SOFINA: Bestuurder (12000€)                                                            10000,12000,12/06/2017
72775,Avocat (16 000 euros brut mensuel)                                                                       20000,16000,08/06/2017
72775,Avocat (16 000 euros brut                                                                                20000 mensuel),16000,08/06/2017
1185,2010-2014 : Vice-présidente de                                                                           20000 la Commission européenne,20000,23/02/2017
125192,Giornalista                                                                                                20000,20000,21/06/2017
124903,Indywidualna         działalność                                                                     10000 gospodarcza,10000,12/07/2017
125012,"Venit brut din activități notariale                                                                        10000 (10.990, 4136 EUR)",10990,29/06/2017
2002,Embajador Jefe de la Delegación                                                                        10000 de la UE en Argentina (septiembre 2015 - enero 2017) (El múltiplo más próximo a 10.000 euros),10000,07/06/2017
124853,Parlamentare Regione Sicilia                                                                               10000,10000,14/07/2017
124847,Assessore Regione Puglia Anno                                                                              10000 2011,10000,13/07/2017
124847,Assessore Regione Puglia Anno                                                                              10000 2012,10000,14/07/2017
124990,Kreab Gavin Anderson                                                                                10000 Communications, Public Affairs,10000,12/07/2017
124990,Adaktusson Media AB (own                                                                            10000 business),10000,12/07/2017
23781,Komisarz UE                                                                                            20000,20000,11/07/2017
